Gesamtzahl aller Wörter: 143901

Wort                     | POS  | Count | TAG   | Lexikalische Vielfalt
42,2                     | NUM  | 1     | CARD  | 0.0006949222034593227
radiosender              | NOUN | 8     | NN    | 0.0055593776276745815
alarm                    | NOUN | 3     | NN    | 0.0020847666103779683
darfst                   | AUX  | 1     | VMFIN | 0.0006949222034593227
tut                      | VERB | 3     | VVFIN | 0.0020847666103779683
tanzsportverein          | NOUN | 1     | NN    | 0.0006949222034593227
76                       | NUM  | 1     | CARD  | 0.0006949222034593227
klein                    | ADV  | 5     | ADJD  | 0.0034746110172966136
persischen               | ADJ  | 1     | ADJA  | 0.0006949222034593227
verlierer                | NOUN | 3     | NN    | 0.0020847666103779683
gedrückt                 | VERB | 1     | VVPP  | 0.0006949222034593227
wegen                    | NOUN | 1     | NN    | 0.0006949222034593227
einzelne                 | ADJ  | 1     | ADJA  | 0.0006949222034593227
diesem                   | DET  | 313   | PDAT  | 0.217510649682768
enders                   | PROPN| 2     | NE    | 0.0013898444069186454
ferlemann                | PROPN| 2     | NE    | 0.0013898444069186454
kilo                     | NOUN | 4     | NN    | 0.0027796888138372907
160                      | NUM  | 6     | CARD  | 0.0041695332207559365
121                      | NUM  | 3     | CARD  | 0.0020847666103779683
neumünster               | PROPN| 23    | NE    | 0.015983210679564423
heizungen                | NOUN | 1     | NN    | 0.0006949222034593227
passt                    | VERB | 1     | VVFIN | 0.0006949222034593227
frisia                   | PROPN| 3     | NE    | 0.0020847666103779683
01.10.2018.              | ADJ  | 1     | ADJA  | 0.0006949222034593227
schwimmen                | VERB | 1     | NN    | 0.0006949222034593227
angehalten               | VERB | 15    | VVPP  | 0.010423833051889842
paar                     | DET  | 1     | PIAT  | 0.0006949222034593227
stehlen                  | VERB | 2     | VVINF | 0.0013898444069186454
650.000                  | NUM  | 2     | CARD  | 0.0013898444069186454
horn                     | PROPN| 3     | NE    | 0.0020847666103779683
bestraft                 | VERB | 1     | VVPP  | 0.0006949222034593227
februar                  | NOUN | 11    | NN    | 0.00764414423805255
nathalie                 | PROPN| 8     | NE    | 0.0055593776276745815
passwort                 | NOUN | 5     | NN    | 0.0034746110172966136
gefunden                 | VERB | 161   | VVPP  | 0.11188247475695096
angelique                | NOUN | 59    | NN    | 0.04100041000410004
06.11.2018.              | NUM  | 1     | ADJA  | 0.0006949222034593227
behandelt                | VERB | 1     | VVFIN | 0.0006949222034593227
reparieren               | VERB | 16    | VVINF | 0.011118755255349163
dammtor                  | NOUN | 4     | NN    | 0.0027796888138372907
unseren                  | DET  | 12    | PPOSAT| 0.008339066441511873
grone                    | PROPN| 1     | NE    | 0.0006949222034593227
gasflaschen              | NOUN | 8     | NN    | 0.0055593776276745815
schlechteste             | ADJ  | 1     | ADJA  | 0.0006949222034593227
muslimen                 | NOUN | 1     | NN    | 0.0006949222034593227
rennen                   | NOUN | 6     | NN    | 0.0041695332207559365
gucken                   | VERB | 2     | VVINF | 0.0013898444069186454
schafe                   | NOUN | 26    | NN    | 0.018067977289942392
frachter                 | NOUN | 51    | NN    | 0.03544103237642546
1,6                      | NUM  | 1     | CARD  | 0.0006949222034593227
anhängern                | NOUN | 2     | NN    | 0.0013898444069186454
ostsee                   | PROPN| 72    | NE    | 0.050034398649071235
thülsfelder              | NOUN | 1     | NN    | 0.0006949222034593227
meistens                 | ADV  | 36    | ADV   | 0.025017199324535618
langes                   | ADJ  | 3     | ADJA  | 0.0020847666103779683
2002                     | NUM  | 3     | CARD  | 0.0020847666103779683
train                    | PROPN| 2     | NE    | 0.0013898444069186454
scheue                   | ADJ  | 1     | ADJA  | 0.0006949222034593227
ausleihen                | VERB | 1     | VVINF | 0.0006949222034593227
sachen                   | NOUN | 62    | NN    | 0.043085176614478006
gefangen                 | ADV  | 1     | PTKVZ | 0.0006949222034593227
etzt                     | VERB | 1     | VVPP  | 0.0006949222034593227
geeinigt                 | VERB | 3     | VVPP  | 0.0020847666103779683
anderen                  | ADJ  | 274   | ADJA  | 0.19040868374785444
entlassen                | VERB | 28    | VVPP  | 0.019457821696861038
eingefangen              | VERB | 2     | VVPP  | 0.0013898444069186454
bonn                     | PROPN| 1     | NE    | 0.0006949222034593227
leonie                   | PROPN| 12    | NE    | 0.008339066441511873
eckard                   | PROPN| 11    | NE    | 0.00764414423805255
weg                      | ADV  | 9     | PTKVZ | 0.006254299831133904
löschfahrzeugen          | NOUN | 2     | NN    | 0.0013898444069186454
schwindelig              | ADV  | 2     | ADJD  | 0.0013898444069186454
spahn                    | PROPN| 4     | NE    | 0.0027796888138372907
rettungswagen            | NOUN | 6     | NN    | 0.0041695332207559365
eingestochen             | VERB | 2     | VVPP  | 0.0013898444069186454
durfte                   | AUX  | 28    | VMFIN | 0.019457821696861038
kranken                  | ADJ  | 19    | ADJA  | 0.013203521865727132
fußballspiel             | NOUN | 36    | NN    | 0.025017199324535618
kartoffelchips           | NOUN | 1     | NN    | 0.0006949222034593227
finden                   | VERB | 3     | VVINF | 0.0020847666103779683
milch                    | NOUN | 12    | NN    | 0.008339066441511873
ihre                     | DET  | 109   | PPOSAT| 0.07574652017706618
rauchen                  | VERB | 6     | VVINF | 0.0041695332207559365
unbekannten              | ADJ  | 8     | ADJA  | 0.0055593776276745815
dicke                    | ADJ  | 4     | ADJA  | 0.0027796888138372907
startbahn                | NOUN | 8     | NN    | 0.0055593776276745815
grote                    | PROPN| 2     | NE    | 0.0013898444069186454
außenminister            | NOUN | 3     | NN    | 0.0020847666103779683
17.09.2018.              | NOUN | 1     | NN    | 0.0006949222034593227
medikament               | NOUN | 8     | NN    | 0.0055593776276745815
afrika                   | PROPN| 1     | NE    | 0.0006949222034593227
fläche                   | NOUN | 10    | NN    | 0.006949222034593227
rastplatz                | NOUN | 18    | NN    | 0.012508599662267809
mittwochmitag            | NOUN | 1     | NN    | 0.0006949222034593227
6.                       | ADJ  | 8     | ADJA  | 0.0055593776276745815
psychisch                | ADV  | 3     | ADJD  | 0.0020847666103779683
windrädern               | NOUN | 1     | NN    | 0.0006949222034593227
schulz                   | PROPN| 5     | NE    | 0.0034746110172966136
hart                     | ADV  | 4     | ADJD  | 0.0027796888138372907
schweben                 | VERB | 1     | VVINF | 0.0006949222034593227
vorbeigefahren           | VERB | 1     | VVIZU | 0.0006949222034593227
gesundheitsminister      | NOUN | 5     | NN    | 0.0034746110172966136
technologie-firma        | NOUN | 1     | NN    | 0.0006949222034593227
36.000                   | NUM  | 1     | CARD  | 0.0006949222034593227
gearbeitet               | VERB | 29    | VVPP  | 0.02015274390032036
verurteilen              | VERB | 3     | VVFIN | 0.0020847666103779683
frisöre                  | NOUN | 2     | NN    | 0.0013898444069186454
sand                     | NOUN | 2     | NN    | 0.0013898444069186454
einer                    | PRON | 44    | PIS   | 0.0305765769522102
geweckt                  | VERB | 1     | VVPP  | 0.0006949222034593227
krankenhausbetten        | NOUN | 1     | NN    | 0.0006949222034593227
gezogen                  | VERB | 1     | VVPP  | 0.0006949222034593227
hahnenklee               | PROPN| 1     | NE    | 0.0006949222034593227
gaststätten              | NOUN | 7     | NN    | 0.0048644554242152594
seehundstation           | NOUN | 10    | NN    | 0.006949222034593227
stoffe                   | NOUN | 24    | NN    | 0.016678132883023746
heizen                   | VERB | 1     | VVINF | 0.0006949222034593227
kastorfer                | ADJ  | 1     | ADJA  | 0.0006949222034593227
bewusstlos               | ADV  | 2     | ADJD  | 0.0013898444069186454
sehr                     | ADV  | 841   | ADV   | 0.5844295731092904
reiten                   | VERB | 1     | VVINF | 0.0006949222034593227
tanken                   | VERB | 2     | VVFIN | 0.0013898444069186454
ermittlungen             | NOUN | 4     | NN    | 0.0027796888138372907
lagert                   | VERB | 3     | VVFIN | 0.0020847666103779683
