Gesamtzahl aller Wörter: 75340

Wort                     | POS  | Count | TAG   | Lexikalische Vielfalt
sylvia                   | PROPN| 16    | NE    | 0.02123705866737457
gelobt                   | VERB | 1     | VVPP  | 0.0013273161667109105
arme                     | ADJ  | 1     | ADJA  | 0.0013273161667109105
weitergehen              | VERB | 1     | VVINF | 0.0013273161667109105
finkenbrück              | NOUN | 2     | NN    | 0.002654632333421821
größer                   | ADV  | 10    | ADJD  | 0.013273161667109106
wirft                    | VERB | 1     | VVFIN | 0.0013273161667109105
11.12.2018.              | NOUN | 1     | NN    | 0.0013273161667109105
07.03.2019.              | ADJ  | 1     | ADJA  | 0.0013273161667109105
400.000                  | NUM  | 3     | CARD  | 0.003981948500132732
vertreiben               | VERB | 1     | VVINF | 0.0013273161667109105
bedrohen                 | VERB | 1     | VVINF | 0.0013273161667109105
sters                    | PROPN| 1     | NN    | 0.0013273161667109105
führen                   | VERB | 1     | VVINF | 0.0013273161667109105
hamburg-eidelstedt       | PROPN| 1     | NE    | 0.0013273161667109105
vw                       | PROPN| 27    | NE    | 0.03583753650119458
bornemann                | PROPN| 5     | NE    | 0.006636580833554553
helfe                    | VERB | 1     | VVFIN | 0.0013273161667109105
insekten                 | NOUN | 1     | NN    | 0.0013273161667109105
hauptbahnhof             | NOUN | 19    | NN    | 0.0252190071675073
heiraten                 | VERB | 1     | VVINF | 0.0013273161667109105
sofort                   | ADV  | 3     | ADV   | 0.003981948500132732
berne                    | PROPN| 1     | NE    | 0.0013273161667109105
findet                   | VERB | 5     | VVFIN | 0.006636580833554553
werfen                   | VERB | 1     | VVINF | 0.0013273161667109105
herausgekommen           | VERB | 1     | VVPP  | 0.0013273161667109105
flucht                   | NOUN | 4     | NN    | 0.005309264666843642
aez                      | PROPN| 3     | NE    | 0.003981948500132732
zu                       | ADP  | 1     | PTKA  | 0.0013273161667109105
böse                     | ADV  | 1     | ADJD  | 0.0013273161667109105
hamburger                | ADJ  | 39    | ADJA  | 0.051765330501725514
schließen                | VERB | 5     | VVFIN | 0.006636580833554553
feuer                    | NOUN | 440   | NN    | 0.5840191133528007
giftigen                 | ADJ  | 4     | ADJA  | 0.005309264666843642
nun                      | ADV  | 2     | ADV   | 0.002654632333421821
armen                    | ADJ  | 3     | ADJA  | 0.003981948500132732
genzlin                  | PROPN| 2     | NE    | 0.002654632333421821
zugegeben                | VERB | 2     | VVPP  | 0.002654632333421821
streichen                | VERB | 1     | VVINF | 0.0013273161667109105
den                      | PROPN| 1     | ART   | 0.0013273161667109105
tretroller               | NOUN | 1     | NN    | 0.0013273161667109105
2018                     | NUM  | 3     | CARD  | 0.003981948500132732
16.                      | ADJ  | 4     | ADJA  | 0.005309264666843642
dörverden                | PROPN| 1     | NE    | 0.0013273161667109105
ostseeküste              | PROPN| 1     | NN    | 0.0013273161667109105
flügel                   | NOUN | 4     | NN    | 0.005309264666843642
hat                      | AUX  | 1489  | VAFIN | 1.9763737722325458
apfelernte               | NOUN | 1     | NN    | 0.0013273161667109105
passieren                | VERB | 1     | VVFIN | 0.0013273161667109105
lagern                   | VERB | 1     | VVINF | 0.0013273161667109105
nordische                | ADJ  | 1     | ADJA  | 0.0013273161667109105
vorgeschlagen            | VERB | 1     | VVPP  | 0.0013273161667109105
rader                    | PROPN| 1     | NE    | 0.0013273161667109105
hallenbad                | NOUN | 8     | NN    | 0.010618529333687284
entschärfen              | NOUN | 1     | NN    | 0.0013273161667109105
husum                    | ADJ  | 2     | NE    | 0.002654632333421821
unfälle                  | NOUN | 25    | NN    | 0.03318290416777276
täter                    | NOUN | 14    | NN    | 0.018582426333952747
b106                     | PROPN| 1     | NE    | 0.0013273161667109105
