Wort, POS, Count, TAG, Lexikalische Vielfalt
braunschweig, PROPN, 46, NE, 0.03196642
weizen, NOUN, 3, NN, 0.00208477
benzin, NOUN, 11, NN, 0.00764414
kozuch, PROPN, 3, NE, 0.00208477
mitgefahren, VERB, 1, VVPP, 0.00069492
a7, PROPN, 8, NN, 0.00555938
beladen, VERB, 2, VVPP, 0.00138984
gratuliert, VERB, 1, VVFIN, 0.00069492
120, NUM, 6, CARD, 0.00416953
hamburg-rotherbaum, NOUN, 1, NN, 0.00069492
stockholm, PROPN, 2, NE, 0.00138984
fußballsaison, NOUN, 2, NN, 0.00138984
viewing, NOUN, 4, NN, 0.00277969
mailand, PROPN, 2, NE, 0.00138984
april, NOUN, 25, NN, 0.01737306
wichtigste, ADJ, 25, ADJA, 0.01737306
ausstellung, NOUN, 11, NN, 0.00764414
bezirksamt, NOUN, 5, NN, 0.00347461
bundes∙kanzlerin, NOUN, 1, NN, 0.00069492
19.10.2018., NOUN, 1, NN, 0.00069492
