         11364780 function calls (10967982 primitive calls) in 156.532 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      330    0.004    0.000    0.286    0.001 C:\Python38\lib\site-packages\spacy\pipeline\attributeruler.py:148(match)
    33927    0.133    0.000    0.285    0.000 C:\Python38\lib\xml\dom\expatbuilder.py:736(start_element_handler)
      330    0.004    0.000    0.282    0.001 spacy\matcher\matcher.pyx:214(__call__)
      330    0.068    0.000    0.277    0.001 spacy\matcher\matcher.pyx:352(find_matches)
    13200    0.271    0.000    0.271    0.000 thinc\backends\numpy_ops.pyx:82(alloc)
      299    0.007    0.000    0.271    0.001 C:\Python38\lib\site-packages\requests\sessions.py:459(prepare_request)
    12907    0.259    0.000    0.259    0.000 {method 'reduce' of 'numpy.ufunc' objects}
      598    0.040    0.000    0.253    0.000 C:\Python38\lib\urllib\request.py:2459(getproxies_environment)
379171/379150    0.158    0.000    0.251    0.000 spacy\tokens\doc.pyx:474(__getitem__)
       33    0.004    0.000    0.240    0.007 C:\Python38\lib\site-packages\matplotlib\axis.py:1269(_update_ticks)
    81083    0.056    0.000    0.226    0.000 C:\Python38\lib\_collections_abc.py:742(__iter__)
        1    0.000    0.000    0.220    0.220 C:\Python38\lib\site-packages\spacy\language.py:155(__init__)
        1    0.000    0.000    0.216    0.216 C:\Python38\lib\site-packages\spacy\language.py:110(tokenizer_factory)
      598    0.009    0.000    0.215    0.000 C:\Python38\lib\http\cookiejar.py:1596(make_cookies)
      660    0.006    0.000    0.210    0.000 C:\Python38\lib\site-packages\thinc\layers\concatenate.py:96(_ragged_forward)
     1775    0.203    0.000    0.203    0.000 {built-in method nt.stat}
       12    0.001    0.000    0.203    0.017 C:\Python38\lib\site-packages\srsly\_json_api.py:42(read_json)
      660    0.005    0.000    0.203    0.000 C:\Python38\lib\site-packages\thinc\layers\concatenate.py:69(_array_forward)
      330    0.166    0.001    0.202    0.001 spacy\pipeline\morphologizer.pyx:225(set_annotations)
     2716    0.018    0.000    0.202    0.000 C:\Python38\lib\http\cookiejar.py:942(set_ok)
     2310    0.031    0.000    0.200    0.000 C:\Python38\lib\site-packages\thinc\backends\ops.py:364(unflatten)
        3    0.001    0.000    0.199    0.066 C:\Python38\lib\site-packages\seaborn\categorical.py:1235(plot_bars)
        1    0.017    0.017    0.199    0.199 spacy\vectors.pyx:687(load_key2row)
       12    0.191    0.016    0.199    0.017 {built-in method srsly.ujson.ujson.load}
        6    0.000    0.000    0.186    0.031 C:\Python38\lib\site-packages\matplotlib\axis.py:1380(draw)
69350/330    0.156    0.000    0.186    0.001 e:\Studium\Master\IWV\Iwv-Wortschatz\IWV_studentProject\dataLoader.py:42(lookintochild)
        3    0.000    0.000    0.184    0.061 C:\Python38\lib\site-packages\matplotlib\backends\_backend_tk.py:455(__init__)
        2    0.000    0.000    0.183    0.092 C:\Python38\lib\site-packages\srsly\_msgpack_api.py:43(read_msgpack)
        3    0.000    0.000    0.183    0.061 C:\Python38\lib\site-packages\matplotlib\backend_bases.py:2813(__init__)
        2    0.000    0.000    0.183    0.091 C:\Python38\lib\site-packages\srsly\msgpack\__init__.py:58(unpack)
      331    0.092    0.000    0.183    0.001 e:\Studium\Master\IWV\Iwv-Wortschatz\IWV_studentProject\studentcode.py:104(find_noun_endings)
        2    0.182    0.091    0.182    0.091 {srsly.msgpack._unpacker.unpack}
        3    0.001    0.000    0.181    0.060 C:\Python38\lib\site-packages\matplotlib\backends\_backend_tk.py:604(__init__)
        3    0.000    0.000    0.177    0.059 C:\Python38\lib\site-packages\seaborn\_base.py:1192(_add_axis_labels)
    39/21    0.000    0.000    0.176    0.008 C:\Python38\lib\site-packages\matplotlib\axes\_base.py:73(wrapper)
     3300    0.147    0.000    0.176    0.000 C:\Python38\lib\site-packages\thinc\layers\layernorm.py:58(_begin_update_scale_shift)
        6    0.000    0.000    0.175    0.029 C:\Python38\lib\site-packages\matplotlib\axis.py:1439(get_ticklabels)
        6    0.000    0.000    0.175    0.029 C:\Python38\lib\site-packages\matplotlib\axis.py:1423(get_majorticklabels)
     6606    0.004    0.000    0.175    0.000 C:\Python38\lib\re.py:248(compile)
     8274    0.015    0.000    0.174    0.000 C:\Python38\lib\re.py:287(_compile)
       60    0.000    0.000    0.173    0.003 C:\Python38\lib\site-packages\matplotlib\axis.py:1556(_get_tick)
       12    0.000    0.000    0.169    0.014 C:\Python38\lib\site-packages\matplotlib\figure.py:1649(gca)
        3    0.000    0.000    0.169    0.056 C:\Python38\lib\site-packages\matplotlib\figure.py:643(add_subplot)
        3    0.000    0.000    0.168    0.056 C:\Python38\lib\site-packages\matplotlib\axes\_base.py:574(__init__)
      299    0.004    0.000    0.168    0.001 C:\Python38\lib\site-packages\requests\utils.py:764(should_bypass_proxies)
        8    0.000    0.000    0.166    0.021 C:\Python38\lib\site-packages\spacy\language.py:764(add_pipe)
       19    0.001    0.000    0.166    0.009 spacy\tokenizer.pyx:567(_load_special_cases)
      834    0.007    0.000    0.165    0.000 spacy\tokenizer.pyx:591(add_special_case)
        8    0.000    0.000    0.161    0.020 C:\Python38\lib\site-packages\spacy\language.py:652(create_pipe)
      299    0.014    0.000    0.156    0.001 C:\Python38\lib\http\client.py:200(parse_headers)
       17    0.000    0.000    0.153    0.009 C:\Python38\lib\site-packages\confection\__init__.py:775(_make)
    87/17    0.003    0.000    0.152    0.009 C:\Python38\lib\site-packages\confection\__init__.py:822(_fill)
      299    0.003    0.000    0.151    0.001 C:\Python38\lib\socket.py:901(getaddrinfo)
       29    0.000    0.000    0.151    0.005 C:\Python38\lib\sre_compile.py:759(compile)
      299    0.002    0.000    0.150    0.001 C:\Python38\lib\site-packages\requests\utils.py:112(proxy_bypass)
       39    0.000    0.000    0.150    0.004 C:\Python38\lib\site-packages\matplotlib\axis.py:1607(get_major_ticks)
        3    0.000    0.000    0.149    0.050 C:\Python38\lib\site-packages\matplotlib\backends\_backend_tk.py:576(delayed_destroy)
        3    0.000    0.000    0.149    0.050 C:\Python38\lib\tkinter\__init__.py:2299(destroy)
     7404    0.031    0.000    0.149    0.000 spacy\tokenizer.pyx:396(_split_affixes)
     1196    0.003    0.000    0.146    0.000 C:\Python38\lib\genericpath.py:16(exists)
    76548    0.065    0.000    0.146    0.000 C:\Python38\lib\os.py:670(__getitem__)
   349928    0.079    0.000    0.146    0.000 spacy\tokens\doc.pyx:507(__iter__)
      299    0.002    0.000    0.142    0.000 C:\Python38\lib\site-packages\urllib3\connection.py:834(_match_hostname)
      299    0.141    0.000    0.142    0.000 {built-in method _socket.getaddrinfo}
489693/488651    0.096    0.000    0.141    0.000 {built-in method builtins.isinstance}
        7    0.000    0.000    0.141    0.020 C:\Python38\lib\site-packages\thinc\model.py:628(from_bytes)
      261    0.003    0.000    0.140    0.001 C:\Python38\lib\site-packages\matplotlib\backends\_backend_tk.py:293(motion_notify_event)
       60    0.004    0.000    0.139    0.002 C:\Python38\lib\site-packages\matplotlib\axis.py:58(__init__)
      299    0.014    0.000    0.135    0.000 C:\Python38\lib\site-packages\urllib3\util\ssl_match_hostname.py:95(match_hostname)
     3630    0.030    0.000    0.135    0.000 C:\Python38\lib\site-packages\thinc\backends\ops.py:319(flatten)
      299    0.001    0.000    0.133    0.000 C:\Python38\lib\urllib\request.py:2667(getproxies)
      299    0.004    0.000    0.132    0.000 C:\Python38\lib\email\parser.py:59(parsestr)
      299    0.003    0.000    0.128    0.000 C:\Python38\lib\email\parser.py:41(parse)
   727772    0.128    0.000    0.128    0.000 spacy\tokens\token.pxd:23(cinit)
      299    0.002    0.000    0.125    0.000 C:\Python38\lib\site-packages\requests\adapters.py:331(get_connection)
      660    0.023    0.000    0.121    0.000 C:\Python38\lib\site-packages\thinc\layers\linear.py:35(forward)
      142    0.001    0.000    0.119    0.001 C:\Python38\lib\site-packages\srsly\_msgpack_api.py:17(msgpack_loads)
    87152    0.028    0.000    0.119    0.000 spacy\matcher\matcher.pyx:430(transition_states)
       70    0.002    0.000    0.119    0.002 C:\Python38\lib\site-packages\confection\__init__.py:1041(make_promise_schema)
      142    0.001    0.000    0.118    0.001 C:\Python38\lib\site-packages\srsly\msgpack\__init__.py:70(unpackb)
    57/23    0.001    0.000    0.117    0.005 <frozen importlib._bootstrap>:986(_find_and_load)
      299    0.012    0.000    0.117    0.000 C:\Python38\lib\site-packages\urllib3\util\ssl_.py:218(create_urllib3_context)
        3    0.000    0.000    0.116    0.039 C:\Python38\lib\site-packages\matplotlib\axes\_base.py:1388(clear)
        3    0.000    0.000    0.116    0.039 C:\Python38\lib\site-packages\matplotlib\axes\_base.py:1262(__clear)
      299    0.003    0.000    0.116    0.000 C:\Python38\lib\site-packages\requests\models.py:352(prepare)
    57/23    0.000    0.000    0.115    0.005 <frozen importlib._bootstrap>:956(_find_and_load_unlocked)
      660    0.112    0.000    0.114    0.000 spacy\vectors.pyx:404(find)
    11405    0.113    0.000    0.113    0.000 thinc\backends\numpy_ops.pyx:65(asarray)
     1196    0.004    0.000    0.113    0.000 C:\Python38\lib\http\cookiejar.py:1575(_cookies_from_attrs_set)
      159    0.003    0.000    0.111    0.001 C:\Python38\lib\site-packages\matplotlib\text.py:918(get_window_extent)
       70    0.001    0.000    0.110    0.002 C:\Python38\lib\site-packages\pydantic\v1\main.py:952(create_model)
       21    0.001    0.000    0.110    0.005 C:\Python38\lib\site-packages\matplotlib\backends\_backend_tk.py:812(_Button)
    10465    0.039    0.000    0.109    0.000 C:\Python38\lib\site-packages\urllib3\util\ssl_match_hostname.py:24(_dnsname_match)
        7    0.002    0.000    0.108    0.015 C:\Python38\lib\site-packages\thinc\model.py:649(from_dict)
      299    0.002    0.000    0.108    0.000 C:\Python38\lib\site-packages\urllib3\poolmanager.py:356(connection_from_url)
